#       # k              E            BS weight       TS weight
      2.2626063     -2.8830324       0.0002501       0.0002538
      2.2883177     -2.9036728       0.0002503       0.0002546
      2.3140291     -2.9224168       0.0002503       0.0002555
      2.3397406     -2.9392442       0.0002503       0.0002563
      2.3654520     -2.9541366       0.0002503       0.0002570
      2.3911635     -2.9670777       0.0002501       0.0002577
      2.4168749     -2.9780534       0.0002500       0.0002584
      2.4425863     -2.9870513       0.0002497       0.0002590
      2.4682978     -2.9940613       0.0002494       0.0002596
      2.4940092     -2.9990753       0.0002491       0.0002602
      2.5197206     -3.0020871       0.0002486       0.0002607
      2.5454321     -3.0030928       0.0002482       0.0002612
 
      0.0000000     -2.9986377       0.0005564       0.0005855
      0.0257114     -2.9976381       0.0005552       0.0005865
      0.0514229     -2.9946318       0.0005539       0.0005874
      0.0771343     -2.9896209       0.0005525       0.0005882
      0.1028457     -2.9826096       0.0005509       0.0005889
      0.1285572     -2.9736040       0.0005492       0.0005895
      0.1542686     -2.9626123       0.0005474       0.0005900
      0.1799800     -2.9496448       0.0005454       0.0005904
      0.2056915     -2.9347137       0.0005433       0.0005907
      0.2314029     -2.9178332       0.0005411       0.0005909
      0.2571143     -2.8990196       0.0005387       0.0005910
      0.2828258     -2.8782912       0.0005362       0.0005910
      0.3085372     -2.8556681       0.0005335       0.0005909
      0.3342487     -2.8311724       0.0005308       0.0005907
      0.3599601     -2.8048284       0.0005278       0.0005904
      0.3856715     -2.7766619       0.0005247       0.0005900
      0.4113830     -2.7467009       0.0005215       0.0005895
      0.4370944     -2.7149752       0.0005181       0.0005888
      0.4628058     -2.6815163       0.0005145       0.0005880
      0.4885173     -2.6463579       0.0005108       0.0005871
      0.5142287     -2.6095350       0.0005069       0.0005861
      0.5399401     -2.5710848       0.0005028       0.0005850
      0.5656516     -2.5310461       0.0004986       0.0005837
      0.5913630     -2.4894592       0.0004941       0.0005822
      0.6170744     -2.4463663       0.0004895       0.0005806
      0.6427859     -2.4018113       0.0004847       0.0005789
      0.6684973     -2.3558396       0.0004796       0.0005770
      0.6942087     -2.3084980       0.0004744       0.0005750
      0.7199202     -2.2598350       0.0004690       0.0005728
      0.7456316     -2.2099006       0.0004633       0.0005704
      0.7713430     -2.1587462       0.0004575       0.0005679
      0.7970545     -2.1064246       0.0004514       0.0005651
      0.8227659     -2.0529899       0.0004451       0.0005623
      0.8484774     -1.9984975       0.0004385       0.0005592
      0.8741888     -1.9430041       0.0004318       0.0005560
      0.8999002     -1.8865677       0.0004249       0.0005526
      0.9256117     -1.8292474       0.0004177       0.0005490
      0.9513231     -1.7711035       0.0004105       0.0005454
      0.9770345     -1.7121973       0.0004030       0.0005416
      1.0027460     -1.6525913       0.0003956       0.0005377
      1.0284574     -1.5923490       0.0003880       0.0005339
      1.0541688     -1.5315352       0.0003806       0.0005302
      1.0798803     -1.4702154       0.0003735       0.0005266
      1.1055917     -1.4084565       0.0003667       0.0005236
      1.1313031     -1.3463265       0.0003608       0.0005214
      1.1570146     -1.2838947       0.0003563       0.0005207
      1.1827260     -1.2212317       0.0003543       0.0005230
      1.2084374     -1.1584098       0.0003576       0.0005321
      1.2341489     -1.0955034       0.0003777       0.0005646
      1.2598603     -1.0325919       0.0009612       0.0014371
      1.2855717     -1.0890026       0.0003904       0.0005541
      1.3112832     -1.1470818       0.0003788       0.0005116
      1.3369946     -1.2055975       0.0003831       0.0004945
      1.3627061     -1.2644201       0.0003916       0.0004856
      1.3884175     -1.3234307       0.0004017       0.0004807
      1.4141289     -1.3825188       0.0004122       0.0004783
      1.4398404     -1.4415812       0.0004227       0.0004776
      1.4655518     -1.5005208       0.0004329       0.0004780
      1.4912632     -1.5592455       0.0004427       0.0004793
      1.5169747     -1.6176675       0.0004520       0.0004813
      1.5426861     -1.6757029       0.0004609       0.0004838
      1.5683975     -1.7332710       0.0004692       0.0004866
      1.5941090     -1.7902944       0.0004771       0.0004898
      1.6198204     -1.8466981       0.0004844       0.0004931
      1.6455318     -1.9024097       0.0004913       0.0004965
      1.6712433     -1.9573590       0.0004977       0.0005001
      1.6969547     -2.0114782       0.0005037       0.0005037
      1.7226661     -2.0647012       0.0005092       0.0005073
      1.7483776     -2.1169643       0.0005144       0.0005109
      1.7740890     -2.1682054       0.0005192       0.0005145
      1.7998004     -2.2183644       0.0005237       0.0005181
      1.8255119     -2.2673831       0.0005278       0.0005216
      1.8512233     -2.3152050       0.0005316       0.0005250
      1.8769348     -2.3617756       0.0005352       0.0005284
      1.9026462     -2.4070420       0.0005384       0.0005317
      1.9283576     -2.4509532       0.0005414       0.0005350
      1.9540691     -2.4934602       0.0005441       0.0005381
      1.9797805     -2.5345155       0.0005466       0.0005412
      2.0054919     -2.5740737       0.0005488       0.0005442
      2.0312034     -2.6120910       0.0005509       0.0005471
      2.0569148     -2.6485259       0.0005527       0.0005499
      2.0826262     -2.6833382       0.0005543       0.0005526
      2.1083377     -2.7164901       0.0005558       0.0005552
      2.1340491     -2.7479454       0.0005570       0.0005577
      2.1597605     -2.7776699       0.0005581       0.0005601
      2.1854720     -2.8056315       0.0005590       0.0005624
      2.2111834     -2.8317997       0.0005598       0.0005647
      2.2368948     -2.8561463       0.0005604       0.0005668
      2.2626063     -2.8786450       0.0005608       0.0005689
      2.2883177     -2.8992713       0.0005611       0.0005709
      2.3140291     -2.9180030       0.0005613       0.0005727
      2.3397406     -2.9348196       0.0005613       0.0005745
      2.3654520     -2.9497028       0.0005611       0.0005762
      2.3911635     -2.9626364       0.0005608       0.0005778
      2.4168749     -2.9736060       0.0005604       0.0005793
      2.4425863     -2.9825994       0.0005599       0.0005807
      2.4682978     -2.9896064       0.0005592       0.0005821
      2.4940092     -2.9946188       0.0005584       0.0005833
      2.5197206     -2.9976306       0.0005575       0.0005845
      2.5454321     -2.9986377       0.0005564       0.0005855
 
      0.0000000     -2.9924063       0.0009843       0.0010357
      0.0257114     -2.9914108       0.0009822       0.0010374
      0.0514229     -2.9884106       0.0009799       0.0010390
      0.0771343     -2.9834079       0.0009773       0.0010403
      0.1028457     -2.9764069       0.0009746       0.0010416
      0.1285572     -2.9674137       0.0009716       0.0010426
      0.1542686     -2.9564366       0.0009683       0.0010435
      0.1799800     -2.9434857       0.0009649       0.0010442
      0.2056915     -2.9285735       0.0009611       0.0010448
      0.2314029     -2.9117142       0.0009572       0.0010452
      0.2571143     -2.8929241       0.0009530       0.0010453
      0.2828258     -2.8722215       0.0009486       0.0010454
      0.3085372     -2.8496266       0.0009439       0.0010452
      0.3342487     -2.8251618       0.0009390       0.0010448
      0.3599601     -2.7988511       0.0009338       0.0010443
      0.3856715     -2.7707207       0.0009283       0.0010435
      0.4113830     -2.7407986       0.0009225       0.0010426
      0.4370944     -2.7091147       0.0009165       0.0010414
      0.4628058     -2.6757007       0.0009102       0.0010400
      0.4885173     -2.6405903       0.0009036       0.0010384
      0.5142287     -2.6038190       0.0008967       0.0010366
      0.5399401     -2.5654238       0.0008895       0.0010345
      0.5656516     -2.5254439       0.0008819       0.0010322
      0.5913630     -2.4839198       0.0008741       0.0010296
      0.6170744     -2.4408941       0.0008658       0.0010268
      0.6427859     -2.3964107       0.0008573       0.0010237
      0.6684973     -2.3505155       0.0008484       0.0010204
      0.6942087     -2.3032556       0.0008391       0.0010168
      0.7199202     -2.2546800       0.0008294       0.0010128
      0.7456316     -2.2048390       0.0008194       0.0010086
      0.7713430     -2.1537846       0.0008090       0.0010041
      0.7970545     -2.1015701       0.0007982       0.0009993
      0.8227659     -2.0482503       0.0007870       0.0009941
      0.8484774     -1.9938812       0.0007754       0.0009887
      0.8741888     -1.9385204       0.0007634       0.0009830
      0.8999002     -1.8822269       0.0007511       0.0009769
      0.9256117     -1.8250606       0.0007384       0.0009706
      0.9513231     -1.7670832       0.0007255       0.0009641
      0.9770345     -1.7083572       0.0007123       0.0009573
      1.0027460     -1.6489469       0.0006990       0.0009505
      1.0284574     -1.5889176       0.0006856       0.0009436
      1.0541688     -1.5283361       0.0006724       0.0009369
      1.0798803     -1.4672705       0.0006596       0.0009306
      1.1055917     -1.4057906       0.0006477       0.0009251
      1.1313031     -1.3439680       0.0006372       0.0009211
