# Omega(k)/|Omega(k)|, Omega(k) comes from the 4,5,6 columns of Berrycurvature.dat.
#col     1           2           3           4           5           6
  # kx (1/A)    ky (1/A)    kz (1/A)     Omega_x     Omega_y     Omega_z
   -0.863359   -0.422360    0.000000    0.000000    0.000000   -1.000000
   -0.850178   -0.399529    0.000000    0.000000    0.000000   -1.000000
   -0.836997   -0.376699    0.000000    0.000000    0.000000   -1.000000
   -0.823816   -0.353869    0.000000    0.000000    0.000000   -1.000000
   -0.810635   -0.331039    0.000000    0.000000    0.000000   -1.000000
   -0.797454   -0.308208    0.000000    0.000000    0.000000   -1.000000
   -0.784272   -0.285378    0.000000    0.000000    0.000000   -1.000000
   -0.771091   -0.262548    0.000000    0.000000    0.000000   -1.000000
   -0.757910   -0.239718    0.000000    0.000000    0.000000   -1.000000
   -0.744729   -0.216887    0.000000    0.000000    0.000000   -1.000000
   -0.731548   -0.194057    0.000000    0.000000    0.000000   -1.000000
   -0.718367   -0.171227    0.000000    0.000000    0.000000   -1.000000
   -0.705186   -0.148397    0.000000    0.000000    0.000000   -1.000000
   -0.692005   -0.125566    0.000000    0.000000    0.000000   -1.000000
   -0.678824   -0.102736    0.000000    0.000000    0.000000   -1.000000
   -0.665643   -0.079906    0.000000    0.000000    0.000000   -1.000000
   -0.652462   -0.057076    0.000000    0.000000    0.000000   -1.000000
   -0.639281   -0.034245    0.000000    0.000000    0.000000   -1.000000
   -0.626100   -0.011415    0.000000    0.000000    0.000000   -1.000000
   -0.612919    0.011415    0.000000    0.000000    0.000000   -1.000000
   -0.599738    0.034245    0.000000    0.000000    0.000000   -1.000000
   -0.586557    0.057076    0.000000    0.000000    0.000000   -1.000000
   -0.573376    0.079906    0.000000    0.000000    0.000000   -1.000000
   -0.560195    0.102736    0.000000    0.000000    0.000000   -1.000000
   -0.547014    0.125566    0.000000    0.000000    0.000000   -1.000000
   -0.533833    0.148397    0.000000    0.000000    0.000000   -1.000000
