# Orbital magnetization in unit of Bohr magneton \mu_B
#col     1           2           3           4           5           6           7           8           9          10          11          12          13          14          15
#                                      Sum over 1~NumOccupied bands       values at NumOccupied'th band               Sum below Fermi level               values at Fermi level
# kx (1/A)    ky (1/A)    kz (1/A)         m_x         m_y         m_z         m_x         m_y         m_z         m_x         m_y         m_z         m_x         m_y         m_z
   -0.692005    0.148397    0.000000  0.0000E+00  0.0000E+00  0.3564E-01  0.0000E+00  0.0000E+00  0.3564E-01  0.0000E+00  0.0000E+00  0.3564E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.678824    0.171227    0.000000  0.0000E+00  0.0000E+00  0.3501E-01  0.0000E+00  0.0000E+00  0.3501E-01  0.0000E+00  0.0000E+00  0.3501E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.665643    0.194057    0.000000  0.0000E+00  0.0000E+00  0.3435E-01  0.0000E+00  0.0000E+00  0.3435E-01  0.0000E+00  0.0000E+00  0.3435E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.652462    0.216887    0.000000  0.0000E+00  0.0000E+00  0.3371E-01  0.0000E+00  0.0000E+00  0.3371E-01  0.0000E+00  0.0000E+00  0.3371E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.639281    0.239718    0.000000  0.0000E+00  0.0000E+00  0.3313E-01  0.0000E+00  0.0000E+00  0.3313E-01  0.0000E+00  0.0000E+00  0.3313E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.626100    0.262548    0.000000  0.0000E+00  0.0000E+00  0.3263E-01  0.0000E+00  0.0000E+00  0.3263E-01  0.0000E+00  0.0000E+00  0.3263E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.612919    0.285378    0.000000  0.0000E+00  0.0000E+00  0.3225E-01  0.0000E+00  0.0000E+00  0.3225E-01  0.0000E+00  0.0000E+00  0.3225E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.599738    0.308208    0.000000  0.0000E+00  0.0000E+00  0.3199E-01  0.0000E+00  0.0000E+00  0.3199E-01  0.0000E+00  0.0000E+00  0.3199E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.586557    0.331039    0.000000  0.0000E+00  0.0000E+00  0.3188E-01  0.0000E+00  0.0000E+00  0.3188E-01  0.0000E+00  0.0000E+00  0.3188E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.573376    0.353869    0.000000  0.0000E+00  0.0000E+00  0.3192E-01  0.0000E+00  0.0000E+00  0.3192E-01  0.0000E+00  0.0000E+00  0.3192E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.560195    0.376699    0.000000  0.0000E+00  0.0000E+00  0.3210E-01  0.0000E+00  0.0000E+00  0.3210E-01  0.0000E+00  0.0000E+00  0.3210E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.547014    0.399529    0.000000  0.0000E+00  0.0000E+00  0.3242E-01  0.0000E+00  0.0000E+00  0.3242E-01  0.0000E+00  0.0000E+00  0.3242E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.533833    0.422360    0.000000  0.0000E+00  0.0000E+00  0.3287E-01  0.0000E+00  0.0000E+00  0.3287E-01  0.0000E+00  0.0000E+00  0.3287E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.520651    0.445190    0.000000  0.0000E+00  0.0000E+00  0.3341E-01  0.0000E+00  0.0000E+00  0.3341E-01  0.0000E+00  0.0000E+00  0.3341E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.507470    0.468020    0.000000  0.0000E+00  0.0000E+00  0.3403E-01  0.0000E+00  0.0000E+00  0.3403E-01  0.0000E+00  0.0000E+00  0.3403E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.494289    0.490850    0.000000  0.0000E+00  0.0000E+00  0.3468E-01  0.0000E+00  0.0000E+00  0.3468E-01  0.0000E+00  0.0000E+00  0.3468E-01  0.0000E+00  0.0000E+00  0.0000E+00
