# Berry curvature in unit of (Angstrom^2)  
#                                      Sum over 1-NumOccupied bands       values at NumOccupied'th band               Sum below Fermi level               values at Fermi level
# kx (1/A)    ky (1/A)    kz (1/A)     Omega_x     Omega_y     Omega_z     Omega_x     Omega_y     Omega_z     Omega_x     Omega_y     Omega_z     Omega_x     Omega_y     Omega_z
#col     1           2           3           4           5           6           7           8           9          10          11          12          13          14          15
   -1.606105    0.000000   -1.324332 -0.2210E-03  0.0000E+00  0.1147E-01 -0.2210E-03  0.0000E+00  0.1147E-01 -0.2210E-03  0.0000E+00  0.1147E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000   -1.267977 -0.2676E-03  0.0000E+00  0.1196E-01 -0.2676E-03  0.0000E+00  0.1196E-01 -0.2676E-03  0.0000E+00  0.1196E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000   -1.211623 -0.3189E-03  0.0000E+00  0.1254E-01 -0.3189E-03  0.0000E+00  0.1254E-01 -0.3189E-03  0.0000E+00  0.1254E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000   -1.155268 -0.3759E-03  0.0000E+00  0.1324E-01 -0.3759E-03  0.0000E+00  0.1324E-01 -0.3759E-03  0.0000E+00  0.1324E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000   -1.098914 -0.4395E-03  0.0000E+00  0.1405E-01 -0.4395E-03  0.0000E+00  0.1405E-01 -0.4395E-03  0.0000E+00  0.1405E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000   -1.042559 -0.5105E-03  0.0000E+00  0.1500E-01 -0.5105E-03  0.0000E+00  0.1500E-01 -0.5105E-03  0.0000E+00  0.1500E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000   -0.986205 -0.5898E-03  0.0000E+00  0.1610E-01 -0.5898E-03  0.0000E+00  0.1610E-01 -0.5898E-03  0.0000E+00  0.1610E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000   -0.929850 -0.6782E-03  0.0000E+00  0.1737E-01 -0.6782E-03  0.0000E+00  0.1737E-01 -0.6782E-03  0.0000E+00  0.1737E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000   -0.873496 -0.7760E-03  0.0000E+00  0.1883E-01 -0.7760E-03  0.0000E+00  0.1883E-01 -0.7760E-03  0.0000E+00  0.1883E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000   -0.817141 -0.8832E-03  0.0000E+00  0.2049E-01 -0.8832E-03  0.0000E+00  0.2049E-01 -0.8832E-03  0.0000E+00  0.2049E-01  0.0000E+00  0.0000E+00  0.0000E+00
